Linear_Linear1 Episode 329, Reward: -110.57587416488238, Steps: 64
Linear_Linear1 Episode 330, Reward: -122.75680959988415, Steps: 85
Linear_Linear1 Episode 331, Reward: -113.76202660333689, Steps: 52
Linear_Linear1 Episode 332, Reward: -143.01231491727202, Steps: 57
Linear_Linear1 Episode 333, Reward: -155.3130059985893, Steps: 89
Linear_Linear1 Episode 334, Reward: -148.0280759472498, Steps: 74
Linear_Linear1 Episode 335, Reward: -117.68401687559617, Steps: 54
Linear_Linear1 Episode 336, Reward: -261.71961109759536, Steps: 93
Linear_Linear1 Episode 337, Reward: -138.16895580980162, Steps: 66
Linear_Linear1 Episode 338, Reward: -140.9003013213976, Steps: 58
Linear_Linear1 Episode 339, Reward: -140.86927966887725, Steps: 66
Linear_Linear1 Episode 340, Reward: -126.82750804967458, Steps: 56
Linear_Linear1 Episode 341, Reward: -114.81954068376189, Steps: 65
Linear_Linear1 Episode 342, Reward: -163.17562290021877, Steps: 62
Linear_Linear1 Episode 343, Reward: -119.92206858936623, Steps: 85
Linear_Linear1 Episode 344, Reward: -124.56262042499392, Steps: 80
Linear_Linear1 Episode 345, Reward: -171.59310756705054, Steps: 70
Linear_Linear1 Episode 346, Reward: -100.84681807188633, Steps: 59
Linear_Linear1 Episode 347, Reward: -91.09411862317648, Steps: 54
Linear_Linear1 Episode 348, Reward: -139.29402230773601, Steps: 73
Linear_Linear1 Episode 349, Reward: -95.38093922576701, Steps: 56
Linear_Linear1 Episode 350, Reward: -145.07870000163183, Steps: 75
Linear_Linear1 Episode 351, Reward: -123.18359661936492, Steps: 91
Linear_Linear1 Episode 352, Reward: -161.8912740243672, Steps: 63
Linear_Linear1 Episode 353, Reward: -151.87562613790507, Steps: 77
Linear_Linear1 Episode 354, Reward: -129.88869640641843, Steps: 73
Linear_Linear1 Episode 355, Reward: -142.60905669268274, Steps: 73
Linear_Linear1 Episode 356, Reward: -118.97157065125856, Steps: 74
Linear_Linear1 Episode 357, Reward: -155.08701748542796, Steps: 66
Linear_Linear1 Episode 358, Reward: -102.6268576440859, Steps: 57
Linear_Linear1 Episode 359, Reward: -101.55726105704804, Steps: 84
Linear_Linear1 Episode 360, Reward: -355.5114548198069, Steps: 119
Linear_Linear1 Episode 361, Reward: -181.41457439679277, Steps: 92
Linear_Linear1 Episode 362, Reward: -141.6123271927006, Steps: 61
