LinearNorm_Residue2 Episode 296, Reward: -171.93340803290317, Steps: 269
LinearNorm_Residue2 Episode 297, Reward: -110.23879033697445, Steps: 263
LinearNorm_Residue2 Episode 298, Reward: -121.05807838185117, Steps: 305
LinearNorm_Residue2 Episode 299, Reward: -68.15263761900538, Steps: 261
LinearNorm_Residue2 Episode 300, Reward: -206.1209310517882, Steps: 288
LinearNorm_Residue2 Episode 301, Reward: -49.97079694051922, Steps: 197
LinearNorm_Residue2 Episode 302, Reward: -85.47711668241476, Steps: 195
LinearNorm_Residue2 Episode 303, Reward: 255.39738315900243, Steps: 454
LinearNorm_Residue2 Episode 304, Reward: -315.6999487765677, Steps: 394
LinearNorm_Residue2 Episode 305, Reward: -179.41320413554683, Steps: 217
LinearNorm_Residue2 Episode 306, Reward: -17.020025283272048, Steps: 228
LinearNorm_Residue2 Episode 307, Reward: -146.1316140318986, Steps: 105
LinearNorm_Residue2 Episode 308, Reward: -257.1585232540178, Steps: 534
LinearNorm_Residue2 Episode 309, Reward: -201.41873208336983, Steps: 251
LinearNorm_Residue2 Episode 310, Reward: -172.2733839639276, Steps: 278
LinearNorm_Residue2 Episode 311, Reward: -90.85472828106194, Steps: 217
LinearNorm_Residue2 Episode 312, Reward: -227.41708534382286, Steps: 377
LinearNorm_Residue2 Episode 313, Reward: -39.46558562995146, Steps: 140
LinearNorm_Residue2 Episode 314, Reward: -82.59537886326366, Steps: 226
LinearNorm_Residue2 Episode 315, Reward: -6.291809630797118, Steps: 230
LinearNorm_Residue2 Episode 316, Reward: -49.485997815339786, Steps: 176
LinearNorm_Residue2 Episode 317, Reward: -35.78325746796702, Steps: 264
LinearNorm_Residue2 Episode 318, Reward: -11.689781334971897, Steps: 194
LinearNorm_Residue2 Episode 319, Reward: -100.26639712643589, Steps: 107
LinearNorm_Residue2 Episode 320, Reward: 5.378173490893033, Steps: 222
LinearNorm_Residue2 Episode 321, Reward: -13.768666178353044, Steps: 187
LinearNorm_Residue2 Episode 322, Reward: -79.24671985169479, Steps: 164
LinearNorm_Residue2 Episode 323, Reward: -39.16409873143225, Steps: 256
LinearNorm_Residue2 Episode 324, Reward: -84.81150030588695, Steps: 218
LinearNorm_Residue2 Episode 325, Reward: -46.62817898812597, Steps: 177
LinearNorm_Residue2 Episode 326, Reward: -91.11824125847978, Steps: 181
LinearNorm_Residue2 Episode 327, Reward: -98.49973731150183, Steps: 246
LinearNorm_Residue2 Episode 328, Reward: -80.89935058982346, Steps: 147
LinearNorm_Residue2 Episode 329, Reward: -64.56643273393351, Steps: 277
LinearNorm_Residue2 Episode 330, Reward: 240.71118999637, Steps: 310
LinearNorm_Residue2 Episode 331, Reward: -124.36923199936301, Steps: 179
LinearNorm_Residue2 Episode 332, Reward: -77.87829312831896, Steps: 109
LinearNorm_Residue2 Episode 333, Reward: 11.371966446026946, Steps: 253
LinearNorm_Residue2 Episode 334, Reward: -44.73903427186796, Steps: 253
LinearNorm_Residue2 Episode 335, Reward: -102.10785798168897, Steps: 156
LinearNorm_Residue2 Episode 336, Reward: -69.44603143978618, Steps: 176
LinearNorm_Residue2 Episode 337, Reward: -130.88052165793627, Steps: 209
LinearNorm_Residue2 Episode 338, Reward: -75.91678719256414, Steps: 208
LinearNorm_Residue2 Episode 339, Reward: 60.20021062463766, Steps: 226
LinearNorm_Residue2 Episode 340, Reward: -60.86700290334056, Steps: 148
LinearNorm_Residue2 Episode 341, Reward: -16.954534555714403, Steps: 178
LinearNorm_Residue2 Episode 342, Reward: -41.03132866988911, Steps: 160
LinearNorm_Residue2 Episode 343, Reward: 224.56767293769687, Steps: 299
LinearNorm_Residue2 Episode 344, Reward: 7.460079941920412, Steps: 158
LinearNorm_Residue2 Episode 345, Reward: 248.40051725176994, Steps: 263
LinearNorm_Residue2 Episode 346, Reward: 265.17675525039624, Steps: 316
LinearNorm_Residue2 Episode 347, Reward: 262.8027824192082, Steps: 264
LinearNorm_Residue2 Episode 348, Reward: -7.590691799837643, Steps: 204
