Linear_Residue2 Episode 239, Reward: -21.810750841322136, Steps: 1000
Linear_Residue2 Episode 240, Reward: -270.27738798667315, Steps: 904
Linear_Residue2 Episode 241, Reward: -117.97653859916915, Steps: 788
Linear_Residue2 Episode 242, Reward: 95.25284365255773, Steps: 911
Linear_Residue2 Episode 243, Reward: 50.88790855416377, Steps: 824
Linear_Residue2 Episode 244, Reward: -93.56719319653682, Steps: 1000
Linear_Residue2 Episode 245, Reward: -75.78939276929566, Steps: 1000
Linear_Residue2 Episode 246, Reward: -26.924282923716476, Steps: 484
Linear_Residue2 Episode 247, Reward: -43.562496480295344, Steps: 1000
Linear_Residue2 Episode 248, Reward: -60.4943374548038, Steps: 1000
Linear_Residue2 Episode 249, Reward: -130.08094119299176, Steps: 568
Linear_Residue2 Episode 250, Reward: -37.5791262968916, Steps: 84
Linear_Residue2 Episode 251, Reward: 24.971663162954925, Steps: 108
Linear_Residue2 Episode 252, Reward: -63.683627582683826, Steps: 372
Linear_Residue2 Episode 253, Reward: -91.62862826880851, Steps: 473
Linear_Residue2 Episode 254, Reward: -71.87383030154005, Steps: 415
Linear_Residue2 Episode 255, Reward: -91.65938006450568, Steps: 1000
Linear_Residue2 Episode 256, Reward: -63.02431158805926, Steps: 1000
Linear_Residue2 Episode 257, Reward: -72.74565373113313, Steps: 1000
Linear_Residue2 Episode 258, Reward: -70.0066422462576, Steps: 1000
Linear_Residue2 Episode 259, Reward: -27.660436361912474, Steps: 1000
Linear_Residue2 Episode 260, Reward: 48.14781060967886, Steps: 97
Linear_Residue2 Episode 261, Reward: -63.17457265245558, Steps: 1000
Linear_Residue2 Episode 262, Reward: -63.29615709395405, Steps: 1000
Linear_Residue2 Episode 263, Reward: -28.293975611478643, Steps: 79
Linear_Residue2 Episode 264, Reward: -65.9078922263993, Steps: 1000
Linear_Residue2 Episode 265, Reward: -29.67246836185187, Steps: 1000
Linear_Residue2 Episode 266, Reward: -101.31001438548216, Steps: 68
Linear_Residue2 Episode 267, Reward: 12.590860514528032, Steps: 91
Linear_Residue2 Episode 268, Reward: -47.542167846572035, Steps: 1000
Linear_Residue2 Episode 269, Reward: -17.944907425197556, Steps: 92
Linear_Residue2 Episode 270, Reward: -18.530970043173507, Steps: 1000
Linear_Residue2 Episode 271, Reward: -26.70031067005344, Steps: 1000
Linear_Residue2 Episode 272, Reward: -19.496134438773343, Steps: 1000
Linear_Residue2 Episode 273, Reward: -39.901901888152196, Steps: 1000
Linear_Residue2 Episode 274, Reward: -43.26003089400332, Steps: 1000
Linear_Residue2 Episode 275, Reward: 6.876115459065732, Steps: 1000
Linear_Residue2 Episode 276, Reward: -34.5650489282509, Steps: 1000
Linear_Residue2 Episode 277, Reward: -54.08929299043975, Steps: 1000
Linear_Residue2 Episode 278, Reward: -36.51823433118814, Steps: 1000
Linear_Residue2 Episode 279, Reward: -86.04865855566437, Steps: 766
Linear_Residue2 Episode 280, Reward: -119.12428956661068, Steps: 1000
Linear_Residue2 Episode 281, Reward: -82.95413463241367, Steps: 1000
Linear_Residue2 Episode 282, Reward: -71.75667546763357, Steps: 1000
Linear_Residue2 Episode 283, Reward: -101.85343400144201, Steps: 1000
Linear_Residue2 Episode 284, Reward: -119.32828615012103, Steps: 1000
Linear_Residue2 Episode 285, Reward: 285.72654910959176, Steps: 290
Linear_Residue2 Episode 286, Reward: -85.70750850569111, Steps: 1000
Linear_Residue2 Episode 287, Reward: 156.0206124825184, Steps: 616
Linear_Residue2 Episode 288, Reward: -100.65622574240427, Steps: 1000
Linear_Residue2 Episode 289, Reward: -43.20501857104901, Steps: 260
Linear_Residue2 Episode 290, Reward: -203.82655543277554, Steps: 903
Linear_Residue2 Episode 291, Reward: -87.588626884772, Steps: 1000
Linear_Residue2 Episode 292, Reward: -124.02024112404101, Steps: 532
Linear_Residue2 Episode 293, Reward: -110.84781503168334, Steps: 484
Linear_Residue2 Episode 294, Reward: -78.47722978528753, Steps: 662
Linear_Residue2 Episode 295, Reward: -127.59281124403864, Steps: 572
Linear_Residue2 Episode 296, Reward: -102.50040789785888, Steps: 304
Linear_Residue2 Episode 297, Reward: -94.24795711143484, Steps: 308
Linear_Residue2 Episode 298, Reward: -59.11732729488972, Steps: 97
Linear_Residue2 Episode 299, Reward: 40.09970794382872, Steps: 105
Linear_Residue2 Episode 300, Reward: -66.61565469715882, Steps: 71
Linear_Residue2 Episode 301, Reward: -39.57732736233092, Steps: 1000
Linear_Residue2 Episode 302, Reward: -42.1391091268072, Steps: 70
Linear_Residue2 Episode 303, Reward: 70.08290306539897, Steps: 737
Linear_Residue2 Episode 304, Reward: 229.18820165110589, Steps: 268
Linear_Residue2 Episode 305, Reward: -195.2627881946912, Steps: 590
Linear_Residue2 Episode 306, Reward: 49.72768716769522, Steps: 123
Linear_Residue2 Episode 307, Reward: -6.830044033121538, Steps: 120
Linear_Residue2 Episode 308, Reward: 202.26078886059497, Steps: 393
Linear_Residue2 Episode 309, Reward: 46.769721074037534, Steps: 135
Linear_Residue2 Episode 310, Reward: -22.469399724417016, Steps: 82
Linear_Residue2 Episode 311, Reward: 72.08175626719347, Steps: 115
Linear_Residue2 Episode 312, Reward: -159.31681704536297, Steps: 533
Linear_Residue2 Episode 313, Reward: -13.233189119390246, Steps: 114
Linear_Residue2 Episode 314, Reward: -17.226457905020894, Steps: 122
Linear_Residue2 Episode 315, Reward: 41.2243399961651, Steps: 112
Linear_Residue2 Episode 316, Reward: 236.61526898307432, Steps: 254
Linear_Residue2 Episode 317, Reward: 39.48471261271601, Steps: 133
Linear_Residue2 Episode 318, Reward: 14.043318376342597, Steps: 118
Linear_Residue2 Episode 319, Reward: 22.406785791781672, Steps: 114
Linear_Residue2 Episode 320, Reward: 34.84987712144354, Steps: 113
Linear_Residue2 Episode 321, Reward: 34.056826476852905, Steps: 125
Linear_Residue2 Episode 322, Reward: 22.85296723487137, Steps: 108
Linear_Residue2 Episode 323, Reward: 24.18234219698408, Steps: 116
Linear_Residue2 Episode 324, Reward: 36.66961858507233, Steps: 120
Linear_Residue2 Episode 325, Reward: 52.99383238804461, Steps: 112
Linear_Residue2 Episode 326, Reward: 26.95681653177455, Steps: 113
Linear_Residue2 Episode 327, Reward: 40.20573246668357, Steps: 102
Linear_Residue2 Episode 328, Reward: 35.06342851497894, Steps: 141
Linear_Residue2 Episode 329, Reward: 38.70721066720691, Steps: 124
Linear_Residue2 Episode 330, Reward: 211.3028547998341, Steps: 429
