Residue_Residue2 Episode 199, Reward: 0.2961151750297546, Steps: 251
Residue_Residue2 Episode 200, Reward: -11.365979961764879, Steps: 80
Residue_Residue2 Episode 201, Reward: 195.08385325088634, Steps: 323
Residue_Residue2 Episode 202, Reward: -23.953112856423687, Steps: 129
Residue_Residue2 Episode 203, Reward: 272.64311192830314, Steps: 283
Residue_Residue2 Episode 204, Reward: 281.2940329820889, Steps: 218
Residue_Residue2 Episode 205, Reward: 57.047641345278834, Steps: 155
Residue_Residue2 Episode 206, Reward: 48.998123742093725, Steps: 158
Residue_Residue2 Episode 207, Reward: -11.608122686909624, Steps: 296
Residue_Residue2 Episode 208, Reward: 224.84112672011855, Steps: 319
Residue_Residue2 Episode 209, Reward: -41.96711053489243, Steps: 218
Residue_Residue2 Episode 210, Reward: 226.29771775610433, Steps: 347
Residue_Residue2 Episode 211, Reward: 207.4186187909107, Steps: 414
Residue_Residue2 Episode 212, Reward: 238.04995854993248, Steps: 273
Residue_Residue2 Episode 213, Reward: 261.00700194918835, Steps: 310
Residue_Residue2 Episode 214, Reward: -13.977658602031298, Steps: 119
Residue_Residue2 Episode 215, Reward: 249.5725037075531, Steps: 185
Residue_Residue2 Episode 216, Reward: 6.981518800326356, Steps: 208
Residue_Residue2 Episode 217, Reward: 283.76666943928615, Steps: 310
Residue_Residue2 Episode 218, Reward: 254.00115821136208, Steps: 279
Residue_Residue2 Episode 219, Reward: -61.74394626557218, Steps: 100
Residue_Residue2 Episode 220, Reward: 191.94790095858457, Steps: 390
Residue_Residue2 Episode 221, Reward: 275.02284556374923, Steps: 227
Residue_Residue2 Episode 222, Reward: 228.41843887568598, Steps: 293
Residue_Residue2 Episode 223, Reward: -26.976421211684155, Steps: 130
Residue_Residue2 Episode 224, Reward: -31.43340584875935, Steps: 96
Residue_Residue2 Episode 225, Reward: 48.8544723212255, Steps: 95
Residue_Residue2 Episode 226, Reward: 186.95672591752927, Steps: 590
Residue_Residue2 Episode 227, Reward: 216.56458653590744, Steps: 211
Residue_Residue2 Episode 228, Reward: 280.2726445917903, Steps: 234
Residue_Residue2 Episode 229, Reward: 202.40525382445685, Steps: 614
Residue_Residue2 Episode 230, Reward: 3.2033111457103587, Steps: 105
Residue_Residue2 Episode 231, Reward: 203.01487371483412, Steps: 528
Residue_Residue2 Episode 232, Reward: 6.416401204221444, Steps: 114
Residue_Residue2 Episode 233, Reward: 217.21261525628324, Steps: 779
Residue_Residue2 Episode 234, Reward: 51.71859691359691, Steps: 255
Residue_Residue2 Episode 235, Reward: -284.0221224332635, Steps: 318
Residue_Residue2 Episode 236, Reward: -200.87489203377578, Steps: 274
Residue_Residue2 Episode 237, Reward: 231.73345707634007, Steps: 177
Residue_Residue2 Episode 238, Reward: 169.52302064422264, Steps: 672
Residue_Residue2 Episode 239, Reward: 284.890087672311, Steps: 225
Residue_Residue2 Episode 240, Reward: -51.90123900955135, Steps: 114
Residue_Residue2 Episode 241, Reward: 214.0261329122139, Steps: 249
Residue_Residue2 Episode 242, Reward: 18.124149129423927, Steps: 191
Residue_Residue2 Episode 243, Reward: 284.60982944042263, Steps: 494
Residue_Residue2 Episode 244, Reward: -18.620607541601018, Steps: 133
Residue_Residue2 Episode 245, Reward: -62.76824696124302, Steps: 346
Residue_Residue2 Episode 246, Reward: 184.6442984145358, Steps: 448
Residue_Residue2 Episode 247, Reward: -270.78218212707117, Steps: 3085
Residue_Residue2 Episode 248, Reward: 228.5879543645338, Steps: 480
Residue_Residue2 Episode 249, Reward: 219.52693465742638, Steps: 173
Residue_Residue2 Episode 250, Reward: -30.44953838473681, Steps: 90
Residue_Residue2 Episode 251, Reward: 9.57284106972547, Steps: 130
Residue_Residue2 Episode 252, Reward: 270.9598090570581, Steps: 221
Residue_Residue2 Episode 253, Reward: 138.1634214077851, Steps: 473
Residue_Residue2 Episode 254, Reward: 250.6257319891174, Steps: 200
Residue_Residue2 Episode 255, Reward: 192.71742080136616, Steps: 282
Residue_Residue2 Episode 256, Reward: 249.61054955704967, Steps: 252
Residue_Residue2 Episode 257, Reward: 204.34310949108806, Steps: 326
Residue_Residue2 Episode 258, Reward: 112.26417788383631, Steps: 1020
Residue_Residue2 Episode 259, Reward: -137.78472765421844, Steps: 221
Residue_Residue2 Episode 260, Reward: 213.48071483407065, Steps: 483
Residue_Residue2 Episode 261, Reward: 244.38270372520086, Steps: 325
Residue_Residue2 Episode 262, Reward: -6.4944433751363135, Steps: 122
Residue_Residue2 Episode 263, Reward: 220.90635041202563, Steps: 211
Residue_Residue2 Episode 264, Reward: 262.4034120615015, Steps: 189
Residue_Residue2 Episode 265, Reward: -20.181482669662245, Steps: 142
Residue_Residue2 Episode 266, Reward: -325.0585550557623, Steps: 394
Residue_Residue2 Episode 267, Reward: -88.93604033481081, Steps: 273
Residue_Residue2 Episode 268, Reward: 226.00089269233288, Steps: 271
Residue_Residue2 Episode 269, Reward: 156.26997458943094, Steps: 456
Residue_Residue2 Episode 270, Reward: -17.837252996779483, Steps: 156
Residue_Residue2 Episode 271, Reward: 208.55862963007016, Steps: 231
Residue_Residue2 Episode 272, Reward: 255.32604341370646, Steps: 404
Residue_Residue2 Episode 273, Reward: 267.85314539250163, Steps: 275
Residue_Residue2 Episode 274, Reward: 269.30981498216033, Steps: 250
Residue_Residue2 Episode 275, Reward: -238.70150119330162, Steps: 191
Residue_Residue2 Episode 276, Reward: 254.1177051408553, Steps: 233
Residue_Residue2 Episode 277, Reward: -355.39605705503914, Steps: 334
Residue_Residue2 Episode 278, Reward: 253.21118366674307, Steps: 297
Residue_Residue2 Episode 279, Reward: -215.1667091429019, Steps: 291
Residue_Residue2 Episode 280, Reward: -415.6160385139667, Steps: 425
Residue_Residue2 Episode 281, Reward: -117.46840601417696, Steps: 384
Residue_Residue2 Episode 282, Reward: -67.45955992854923, Steps: 287
Residue_Residue2 Episode 283, Reward: 222.47583430137192, Steps: 198
Residue_Residue2 Episode 284, Reward: 20.264050223431056, Steps: 99
Residue_Residue2 Episode 285, Reward: 26.197168247774925, Steps: 140
Residue_Residue2 Episode 286, Reward: 227.47562986522078, Steps: 265
Residue_Residue2 Episode 287, Reward: -227.44075398730402, Steps: 313
Residue_Residue2 Episode 288, Reward: -222.73043889506735, Steps: 471
Residue_Residue2 Episode 289, Reward: 202.2793398755966, Steps: 324
Residue_Residue2 Episode 290, Reward: 224.26457888552054, Steps: 686
Residue_Residue2 Episode 291, Reward: 285.5682586846211, Steps: 382
Residue_Residue2 Episode 292, Reward: -111.41546210064485, Steps: 299
Residue_Residue2 Episode 293, Reward: -112.67426599603115, Steps: 252
Residue_Residue2 Episode 294, Reward: 151.3754764393068, Steps: 526
Residue_Residue2 Episode 295, Reward: -131.18119353555682, Steps: 235
Residue_Residue2 Episode 296, Reward: -162.03647740138425, Steps: 132
Residue_Residue2 Episode 297, Reward: 247.8745596237609, Steps: 409
