LinearNorm_Linear2 Episode 237, Reward: -13.534860939381716, Steps: 265
LinearNorm_Linear2 Episode 238, Reward: -43.702850794320014, Steps: 119
LinearNorm_Linear2 Episode 239, Reward: 55.97160539836341, Steps: 171
LinearNorm_Linear2 Episode 240, Reward: -18.928857054188697, Steps: 125
LinearNorm_Linear2 Episode 241, Reward: -248.56105271031677, Steps: 231
LinearNorm_Linear2 Episode 242, Reward: -14.194664993463263, Steps: 168
LinearNorm_Linear2 Episode 243, Reward: 1.6000644682455913, Steps: 176
LinearNorm_Linear2 Episode 244, Reward: 38.442959820748456, Steps: 153
LinearNorm_Linear2 Episode 245, Reward: -11.909283510985006, Steps: 164
LinearNorm_Linear2 Episode 246, Reward: 251.51578915103957, Steps: 367
LinearNorm_Linear2 Episode 247, Reward: 228.974161581991, Steps: 204
LinearNorm_Linear2 Episode 248, Reward: 20.101071304590306, Steps: 111
LinearNorm_Linear2 Episode 249, Reward: -11.98904381858327, Steps: 131
LinearNorm_Linear2 Episode 250, Reward: 17.940872499267442, Steps: 157
LinearNorm_Linear2 Episode 251, Reward: 183.36340478363033, Steps: 492
LinearNorm_Linear2 Episode 252, Reward: 212.60509809975144, Steps: 764
LinearNorm_Linear2 Episode 253, Reward: 218.04298318798755, Steps: 282
LinearNorm_Linear2 Episode 254, Reward: -334.0787430041474, Steps: 543
LinearNorm_Linear2 Episode 255, Reward: 13.069265398516265, Steps: 161
LinearNorm_Linear2 Episode 256, Reward: -22.57061296444141, Steps: 190
LinearNorm_Linear2 Episode 257, Reward: 13.410657857352675, Steps: 229
LinearNorm_Linear2 Episode 258, Reward: 73.88323126223699, Steps: 147
LinearNorm_Linear2 Episode 259, Reward: 226.66804435086237, Steps: 421
LinearNorm_Linear2 Episode 260, Reward: 188.0557756159765, Steps: 341
LinearNorm_Linear2 Episode 261, Reward: 15.075919651064424, Steps: 290
LinearNorm_Linear2 Episode 262, Reward: 274.82041105005146, Steps: 253
