Residue_Linear1 Episode 171, Reward: -219.42444434293378, Steps: 91
Residue_Linear1 Episode 172, Reward: -137.89825290456366, Steps: 61
Residue_Linear1 Episode 173, Reward: -146.98955798604317, Steps: 61
Residue_Linear1 Episode 174, Reward: -114.75964328866442, Steps: 74
Residue_Linear1 Episode 175, Reward: -129.04337313836842, Steps: 60
Residue_Linear1 Episode 176, Reward: -88.09228344202248, Steps: 55
Residue_Linear1 Episode 177, Reward: -116.6828857044859, Steps: 52
Residue_Linear1 Episode 178, Reward: -127.22691234809702, Steps: 78
Residue_Linear1 Episode 179, Reward: -3.3056155142578234, Steps: 63
Residue_Linear1 Episode 180, Reward: -121.06027470170602, Steps: 54
Residue_Linear1 Episode 181, Reward: -109.88812181628134, Steps: 79
Residue_Linear1 Episode 182, Reward: -121.87548087294658, Steps: 58
Residue_Linear1 Episode 183, Reward: -139.32636278431718, Steps: 65
Residue_Linear1 Episode 184, Reward: -190.1441073620855, Steps: 73
Residue_Linear1 Episode 185, Reward: -157.4087444810884, Steps: 63
Residue_Linear1 Episode 186, Reward: -92.99500159597022, Steps: 55
Residue_Linear1 Episode 187, Reward: -108.32153137888133, Steps: 62
Residue_Linear1 Episode 188, Reward: -188.48679650768443, Steps: 77
Residue_Linear1 Episode 189, Reward: -150.60671028982438, Steps: 60
Residue_Linear1 Episode 190, Reward: -184.3283606210892, Steps: 69
Residue_Linear1 Episode 191, Reward: -128.2054905660544, Steps: 60
Residue_Linear1 Episode 192, Reward: -137.24943651879198, Steps: 54
Residue_Linear1 Episode 193, Reward: -161.4172670353406, Steps: 72
Residue_Linear1 Episode 194, Reward: -87.59558001567197, Steps: 53
Residue_Linear1 Episode 195, Reward: -139.88501028911247, Steps: 60
Residue_Linear1 Episode 196, Reward: -122.21810534972553, Steps: 73
Residue_Linear1 Episode 197, Reward: -158.86661731419275, Steps: 63
Residue_Linear1 Episode 198, Reward: -172.89655176606163, Steps: 71
Residue_Linear1 Episode 199, Reward: -177.1385259478978, Steps: 70
Residue_Linear1 Episode 200, Reward: -182.41949096844849, Steps: 68
Residue_Linear1 Episode 201, Reward: -120.58537982822057, Steps: 56
Residue_Linear1 Episode 202, Reward: -91.05289715865237, Steps: 53
Residue_Linear1 Episode 203, Reward: -162.31107775708082, Steps: 69
Residue_Linear1 Episode 204, Reward: -155.65342828138063, Steps: 60
Residue_Linear1 Episode 205, Reward: -118.29488585633771, Steps: 53
Residue_Linear1 Episode 206, Reward: -149.8392963534027, Steps: 57
Residue_Linear1 Episode 207, Reward: -118.25773284860654, Steps: 61
Residue_Linear1 Episode 208, Reward: -159.14510203460713, Steps: 70
Residue_Linear1 Episode 209, Reward: -111.62665873003087, Steps: 59
Residue_Linear1 Episode 210, Reward: -26.402853678879637, Steps: 69
Residue_Linear1 Episode 211, Reward: -168.6123942643316, Steps: 60
Residue_Linear1 Episode 212, Reward: -127.64514307322955, Steps: 59
Residue_Linear1 Episode 213, Reward: -191.36145175279773, Steps: 84
Residue_Linear1 Episode 214, Reward: -133.95552753666377, Steps: 69
Residue_Linear1 Episode 215, Reward: -142.87418771204563, Steps: 67
